tatoeba_id	text
10143711	Do what you love.
10799491	I need some of those too.
10169692	What are we having?
12090816	What did you season it with?
7108649	Who would have thought that we would make it?
8743362	It's up to me to thank you.
11762738	What is a person?
11554989	Can I see that book?
12149055	Who is important to your life?
11026574	I thought that was over.
12102095	That's just what they want you to think.
11257805	It is only now that I have seen it.
10152294	I wanted you to be there.
12768250	Where should we go from here?
12395938	I don't look like it, but I am.
9725108	How could I have done it without you?
12772576	Could you have done more?
11619721	So much of it is so good.
6609976	I didn't know that was a thing.
12124842	I think that's what you think I think.
12395937	I may not look like it, but I am.
11781548	We, the people, have to help each other.
10132576	I had no right to say something like that.
12307508	That's not what I said, though, is it?
11677486	I can not believe it!
11236501	We both really want you to be there.
11538982	It's real to me.
12334591	That's not what I used to think.
10359367	You might like this one.
9414199	I think that's the best thing to do.
10573368	That is well said!
10799492	I need some just like these.
10147451	How do you open this?
12772646	How long did you know?
10314786	I don't think that's why I do it.
9805710	What is the best job you ever had?
9009197	I still have such a long way to go!
11039978	This is going to be so good.
9676688	One day, I will say who they are.
11145061	Why do you always have to make everything about you?
10112455	Did they ask you to do that?
10552890	They are all the same!
9805908	What is one thing you will never do again?
11979260	I buy it for you, not for me.
12766676	The future is what we make of it.
8737640	I like you better than her.
10830059	I mean nothing to you.
12766627	I am, I am, I am.
12188725	You can get better.
12765412	Are you going to the market today?
11521834	I love things like that.
12773420	What will you do when the time comes?
11688149	Are we a couple?
12391379	I don't think that was done all the way.
8737642	I like you better than she.
10054482	Why would they tell you that?
10776200	Will they be there too?
11358473	The work you do is important.
12196597	I'm not from there.
8930872	Here I am, where you are.
11889123	How can I get money now?
9805641	Why are you looking for a new job?
12777832	Can we change who we are?
10107969	Can you read the question?
11015376	I want to help you however I can.
9805723	Do you ever take your work home with you?
9054419	All was well.
9165921	I don't love this world.
8988031	I had thought about it.
12771162	Would you believe if I told you?
11988227	You didn't make that up.
10923879	I don't have the energy for that.
9418827	Where am I right now?
9323396	I was here last year.
10054513	Is that a real place?
12777657	Do we live in the moment or for the future?
10028718	Take it a day at a time.
12391141	I'm going to have the best night of my life.
8647352	Take this before you go out.
12772592	Is this really what you wanted?
10313808	The two of us are friends.
10112454	Did she ask you to do that?
12772655	Could it really be over?
9738395	That's a no.
12015556	All we have is each other.
12131441	What does the future look like to you?
12149058	How do you want to live your life?
12771030	How does it make you feel?
11039971	Do you need me to move?
12111034	Get the most out of life.
11271778	Do you mind if I take this?
10735683	I didn't mean for you to find it.
9433368	Do you really think someone would do that?
9057546	Could I be wrong?
11044274	I am not most people.
10263006	I told you where to go.
9816866	I need both.
12389887	Is it, though?
11267029	Yes, I get it.
11039741	I don't own the house I live in.
12772633	Could it be that we were wrong?
10348421	Take what you need and give what you can.
9323481	Give what you can and take what you need.
10320573	You can't make me go in there.
11803167	I like the way it looks.
11257806	It is only now that I have seen her.
12770985	The more I see, the less I understand.
12286786	Some people are into that.
10211300	I'm you from the future.
10288827	I really need your help on this one.
10320600	Why do people do it?
12772668	Is there a reason for all of this?
11127506	I have no problem with you.
9844308	I can't think of the word for it.
11688162	Are we together?
12771339	Do you think we have enough time?
10927926	I don't know if I'm the right person for that.
10511789	Don't let on that you know.
10359399	They still do it, don't they?
12085109	What evidence of this do you have?
11080986	How do I talk to a human being about this?
10926539	You always know when something is up with me.
11550302	I want to read more about this.
11833534	I have a good book with me.
8737617	He and I are great friends.
10142319	Can I take a picture with you?
9158362	Can I take your order?
10091790	I didn't look that up at all.
12771189	Could this really be the end?
10090698	I know you can't see him.
10573367	We can not say it better!
11857214	Can I see your book?
12249232	I have to wait a whole year to get that.
10735771	Take back what you said.
12776669	Are you doing anything after this?
10361280	Thank you for your work, by the way.
9767282	You can come, too.
9805663	What gets you up in the morning?
11927060	I see myself in you.
10087376	I love him so much.
12131607	Who is your community?
12488736	No one can know this.
11988244	Are you ready to go to the store?
11112549	I can call them for you if you want.
12010655	He was there for me at a really bad time.
11669690	That's not the way we do things.
9041536	No, that can't be it.
9399284	I should think about those more.
9041558	I still don't really know.
11419221	What time is the social?
12772604	What more could they have said?
11027271	We have enough for more.
10061279	It's not like I like you or anything!
11297226	And here it is again!
8732364	He is going to come.
12773496	What more could we have done?
9497254	I can't keep up with all this.
11669691	That's the way we do things.
12225337	This I remember.
12488733	Is it OK for me to feel this way?
10101804	Can you sell it to me?
9687015	What was I thinking about?
12249236	I have to wait a whole year just for that.
12772661	What more is there to be done?
12770902	Can you feel the peace in the night?
10147229	The problem was on my end.
12210189	I want to pay you for your work.
11091101	I make do with very little.
11596197	We have all night.
11520824	What gives you the right to say that?
12193348	That would be a long time.
12801687	I say things the way I feel them.
9152216	We have to help each other.
12247061	Could you stop that, please?
11885738	I kind of want to live.
12210190	I want you to pay me for my work.
12197772	It's back to how it used to be.
12457194	I can just tell.
12774758	Do they need more time?
12390985	I still don't have a job.
12774696	Is it time to act?
10817623	I really have to take this call.
12328668	Don't make me use this.
10093225	How do you two know each other?
10004398	You're doing the best you can.
11047803	You just have to stay where you are!
8853223	I was just talking to her about you.
12319009	I need my money.
12773622	Could this be the start of something new?
8895999	Have you sent the book?
11021692	That was a good show.
10989671	Could you hold this for me?
12774925	Was this part of the plan?
10294403	You could say both, I think.
11127468	That's not the way people are.
10320569	I'm not going in there.
10094910	I would never say something like that.
12149103	What is a community?
10152493	Were there a lot of people at the party?
10114119	You're not going to leave me here, are you?
11787814	I didn't know they were a thing.
8737570	Is the doctor in?
9510623	You don't have a key to this door, do you?
8813349	He came here to see you.
12772532	Is there really no other way?
5144996	Are you English?
12772651	What does this mean for us?
12029171	You made things this way.
8338062	I have the best words.
10139337	I don't want to watch that.
9818416	Is he, though?
12775121	Do you understand the process?
10087289	That's what I was getting at.
12149001	What do you want for your future?
10116958	Try your best to be on time.
12776766	Would you care for a walk in the park?
10110360	Do you want to listen to some of my music?
12777855	Do we live for the present or the future?
12164608	I came back to life.
5097071	We are women.
11663537	What are you asking for it?
11744266	This may just be what we were looking for.
11266553	That one doesn't work for me.
10116007	I have nothing to change into.
11843646	The system is the problem.
12771010	Have you ever seen something like this?
12129552	What do you want your future to look like?
9930325	I'm never going to give you up.
11855896	We were just on our way home.
12772717	Had it not been for her, I would be lost.
12344100	You're free to come and go as you please.
10143830	Do you want to trade?
9770372	I don't think there is a problem.
10126473	Where do you guys want to go?
10564919	I need to get out of this town.
11394045	Just try and make me.
11297511	I hope you can make good use of it.
12141695	Are you still at the bar?
12131448	Who can you ask for help?
12774734	Does it seem just to you?
11112102	It doesn't have to be one or the other.
12187607	I need you to deal with this guy for me.
4765232	You should come over.
12768418	How do you take care of your body and mind?
11521417	We don't have enough for more.
9805679	What questions do you have for me?
12776715	Would you like to meet again?
11419465	This must be that one.
12435318	You have to get there in three hours' time.
12488815	You paid for it.
12148992	This is what works for me.
11988225	You didn't start that.
10927963	I love him even more now.
8606090	I don't read the news.
11885749	I left my water in there.
12772580	Was it really all for nothing?
12345452	It's not working for me.
12768110	Have you ever seen such a thing?
10094797	How well do you know this area?
12155175	I need a new body.
10101801	I can sell it to you.
9805909	Who knows you the best?
11359901	You were going through a lot.
12247036	I know it's different now, but how different?
10108820	I had to move here.
9805604	What do you want to study in college?
12092212	Things don't have to be like this.
10126327	Can you answer the question?
10169659	I have as much right as anyone to be here.
11857216	Maybe we don't have to say it.
10219018	At the time, I had never heard of him.
11685417	I already know the answer to that.
12249860	We found them all.
10031180	Would you like to make a statement?
8738165	What is a word?
11237507	You hear me?
10147452	How do you turn this thing on?
11404519	There's no need for me to tell you.
11988232	You came up with that yourself, didn't you?
12131111	That wasn't about you.
12768185	Did you see the new design?
10564955	Why don't you tell us what you really think?
12436770	I think I'm done for now.
9359684	On that, I agree with you!
11559387	That will be it for today.
12391134	I want to tell you that I've had enough.
11885092	I work in media.
12131443	What do you bring to the table?
11677484	I can't believe this!
11565208	We don't have the technology for that.
9851441	I live out of my car.
8805541	I don't get it often.
11889114	What is there to watch?
12776642	Would you care to take a walk with me?
11105352	The less I hear, the better.
10359348	Let me know which of these you want.
12766268	The force will be with you, always.
9977132	I don't live there.
11566213	You're the one who wanted to come with me.
11988231	Did you come up with that yourself?
11297827	There's nothing I can do to help you.
12196593	Do you want to listen to something?
12770927	The more you learn, the less you know.
11889115	What should I watch?
12029144	Should I come early and help you set up?
10314790	I've done the best I could.
8805556	They can think what they want about that.
11557450	I don't like this guy.
12773247	The more we wait, the less we know.
12249234	I have to wait a whole year.
11077397	It wasn't about you.
11627578	I was living on the street that year.
12140049	Who can you reach out to for help with this?
9477298	We're not just like you.
10094920	I don't even know the guy.
10143715	Is this a cover?
11079883	You can be whatever you want to be.
12479201	Do you understand why we can't do that?
11076361	A lot of people do do that.
11036487	When are you free next week?
11469298	Could you hold this?
10153003	Let go of that.
11178897	I added some of your own to it.
12773606	What more can we do but wait?
9399285	I might make one of those this week.
11006479	I told them the same thing.
11550128	That's not what I came here to get.
10748798	Are you trying to drive me out of business?
12772597	Were we too late to stop it?
9929712	I'm not sure what to say to that.
12029157	I think we should give this one a try.
12775039	Do we need to go further?
10077489	Is it really, though?
9510552	It's talking to me.
